title,publication_date,author_name,full_text,article_url
"India sets a new landmark, exceeds 3 crore tests", 17-Aug-2020,,"India has set a new landmark of conducting 3 crore tests with consistent and coordinated efforts of the Centre and the State/UT governments. Expanded diagnostic lab network and facilitation for easy testing across the country have given a substantial boost. With 7,31,697 tests conducted in the last 24 hours, India is on its resolved drive to increase its testing capacity to 10 lakh tests daily. Building on this achievement, the Tests Per Million (TPM) have seen a sharp increase to 21,769. While the cumulative testing rose from 1.2 crore on July 14, 2020 to 3 crore on August 16, 2020, the positivity rate has seen a rise from 7.5% to 8.81% in the same period. Although higher number of tests will push the positivity rate initially, but as the Delhi experience has amply shown, it will eventually lower when combined with other measures such as prompt isolation, tracking and timely clinical management. Aggressive testing leads to early identification and isolation of COVID-19 positive cases. This coupled with efficient clinical treatment brings the Fatality Rate down. Thus, enhanced and timely testing is not only keeping the Positivity Rate low but also the Fatality Rate low. (Source: PIB)",https://www.organiser.org//Encyc/2020/8/17/India-sets-a-new-landmark-exceeds-3-crore-tests.html
"Exports of agricultural commodities from March to June 2020 increased by 23.24% compared to the corresponding period in 2019", 18-Aug-2020,,"Self-reliant agriculture is critical for the goal of an Atmanirbhar Bharat. For this, agricultural export is significant as besides earning precious foreign exchange for the country, and the exports help farmers/producers/exporters to take advantage of the broader international market and increase their income. Exports have also resulted in increased production in the agriculture sector by increasing area coverage and productivity. As per WTO’s Trade Statistics, the share of India’s agricultural exports and imports in the world agriculture trade in 2017 was 2.27% and 1.90%, respectively. Even during the stressful time of pandemic lockdown, India took care not to disturb the world food supply chain and continued to export. The exports of Agri commodities during March 2020 to June 2020 were Rs. 25552.7 Crore against the export of Rs. 20734.8 Crore during the same period in 2019, showing a sharp increase of 23.24%. The agricultural exports as a percentage of India’s agricultural GDP have increased from 9.4 % in 2017-18 to 9.9 % in 2018-19. While the agricultural imports as a percentage of India’s agricultural GDP have declined from 5.7 % to 4.9 %, indicating exportable surplus and decreased dependence on the import of agricultural products in India. Giant strides have been made in Agri export since independence. In 1950-51, India’s Agri export was about Rs. One hundred forty-nine crores which have risen to the level of Rs. 2.53 lakh crores in 2019-20. There has been a substantial increase in export of almost all the agricultural items in the last 15 years. Still, despite being one of the top producers of agricultural products, India does not figure among the top exporters of agricultural produce. For example, India holds the second rank in the world wheat production but ranks 34th in export. Similarly, despite being world No. 3 in the production of vegetables, the export ranking of India is the only 14th. Same is the case for fruits, where India is the second-largest producer in the world, but the export ranking is 23rd. To reach the ranks of a top exporting nation in Agriculture, commensurate with the production, there is a clear and definite need to take proactive interventions. In view thereof, DAC&FW has prepared a comprehensive action plan/strategy towards the promotion of Agri trade. A detailed exploration of data and issues of pre-production, production, and post-harvest has been undertaken to evolve an end to end approach for developing a holistic strategy. An analysis of product groups and then specific commodities have been done concerning the present status of production & exports, strengths, challenges and after that interventions have been identified after consultations with stakeholders. The twofold approach addresses boosting Agri Export with emphasis on value addition and focussed action plan for Import Substitution. The interventions so identified have been converted into a timed action plan. To mention a few, the Export strategy focuses on the export promotion of fast-evolving niche markets of Wellness food/ Health-conscious food/nutraceuticals; Development of “Brand India” in campaign mode to help penetration into new foreign markets and of new products which automatically translates into higher value realisation;  Gulf countries have been identified as focus destination to increase the market share which is a substantial market for India though presently India caters to only 10-12% share of their total imports. A product-market matrix has been made containing a list of products of strength which could be expanded in new geographies and list of public markets which can be introduced with more new products. It is also noted that Horticulture is a growing sub-sector. India holds 2nd position in the production of fruits and vegetables. It exports 8.23 Lakh MT (LMT) of fruits worth Rs 5,638 crore and 31.92 LMT of vegetables worth Rs 5,679 Crores annually. Grapes occupy the premier position in fresh fruit exports followed by Mango, Pomegranate, Banana, and Oranges. In the fresh vegetable export basket, Onions, Mixed Vegetables, Potatoes, Tomatoes, and Green Chilly are the essential items. However, world trade of fruits and vegetables is US$ 208 billion, and India’s share is minuscule.  There is huge potential to increase export in fruits and vegetables. As such, a specific strategy for export promotion has also been evolved for Fresh Fruits & Vegetables with a particular emphasis on grapes, mango, pomegranate, onion, potato & Cucumber-Gherkin. It is also emphasised that the existing Agri clusters are required to be strengthened and more product clusters to be developed to fulfil the gap of bulk quantity and quality of supplies. A time-bound action plan has also been prepared for import substitution with particular focus upon Edible Oils, Cashew, fruits and spices, thereby making India self –reliant. At the behest of the Department of Agricultural Cooperation & Farmers’ Welfare, Ministry of Agriculture, product-specific Export Promotion Forums have been created to lead agri exports to new heights. Export promotion forums (EPFs) for eight agri & allied products viz.  Grapes, Mango, Banana, Onion, Rice, Nutri-Cereals, Pomegranate and Floriculture, have been constituted under the aegis of Agricultural and Processed Food Products Export Development Authority (APEDA), Department of Commerce. Each Export Promotion Forum shall be having exporters of the related commodity as its members along with official members representing concerned Ministries/Departments of the Central and State Governments. Chairman APEDA shall be the chairman of each of these forums. The forums will meet at least once in every two months, to discuss/ make recommendations on issues about the export of the respective commodity and invite experts etc. to the meeting for interaction, as required. The Forums will continuously monitor and identify/anticipate developments in the external/internal situation about the production and export of their respective commodity and recommend /intervene for taking the necessary policy/ administrative measures. They will be inactive touch with the producers, exporters and other relevant stakeholders of respective commodities and hear their problems, and facilitate, support and provide solutions to them. They will regularly study the market for individual products on a global basis, and identifying opportunities and developments/implications for domestic entities, and disseminate the same expeditiously to domestic producers and exporters. The recommendations of the forum will be placed in the product committee / Authority of APEDA. The Forum will keep in close contact with the concerned organisation of Ministry of Agriculture such as MIDH, Extension, NPPO etc., DGFT, Ministry of Civil Aviation, MoFPI etc. to further the interest of agricultural export. (Source: PIB)",https://www.organiser.org//Encyc/2020/8/18/Exports-of-agricultural-commodities-from-March-to-June-2020-increased-by-23-24-compared-to-the-corresponding-period-in-2019.html
"Swachh Survekshan 2020 in “Swachh Mahotsav”, the Virtual Event Being Organised by Ministry of Housing and Urban Affairs. ", 18-Aug-2020,,"Prime Minister Narendra Modi will announce the results of Swachh Survekshan 2020, on  Thursday, August 20, 2020. A total of 129 awards will be handed over to the top-performing cities and states in the programme, titled “Swachh Mahotsav”. This is the fifth edition of the annual cleanliness survey of the country. The Prime Minister will also be interacting with select beneficiaries, swachhagrahis and SafaiKarmis under the Swachh Bharat Mission-Urban (SBM-U), from different parts of the country through video conference. The Prime Minister shall launch the Swachh Survekshan 2020 results dashboard on occasion. Swachh Survekshan 2020 is the World’s largest cleanliness survey which ranked a total of 4,242 cities, 62 Cantonment Boards and 92 Ganga Towns and saw unprecedented participation of 1.87 crore citizens. The government introduced Swachh Survekshan to generate large scale citizen participation in the Mission, along with teaching a spirit of healthy competition among cities towards becoming India’s cleanest cities. MoHUA had conducted Swachh Survekshan 2016 survey for rating 73 major cities in January 2016, followed by Swachh Survekshan 2017 conducted in January-February 2017 for ranking 434 cities. Swachh Survekshan 2018, which, ranked 4,203 cities followed by SS 2019, which not only covered 4,237 cities but was also the first-of-its-kind completely digital survey completed in a record time of 28 days. In Swachh Survekshan 2020, to ensure continuous assessment and sustainability of on-ground performance of cities, the Government had also introduced Swachh Survekshan League, a quarterly cleanliness assessment of cities and towns conducted across three quarters, with 25% weightage integrated into the final Swachh Survekshan results for this year. Swachh Survekshan has caught the imagination of citizens and stakeholders alike and the increasing participation from citizens with every passing year is testimony to how common citizenry has taken complete ownership of the Swachhata of its cities. Swachh Survekshan has today made ‘Swachhata’ a thing of motivation and pride – something to look forward to and aspire for.  While Mysuru had won the award for the Cleanest City of India in the first edition of the survey, Indore has retained the top position for three consecutive years (2017,2018, 2019). The results to be announced on 20 August 2020 will bring the curtains down on the much-anticipated results for the 2020 edition which were delayed owing to the current COVID pandemic. 1.7 crore citizens registered on Swachhata App and over 11 crore impressions on social media. 5.5 lakh sanitary workers linked to social welfare schemes and over 84,000 informal waste pickers integrated into the mainstream. More than 21,000 Garbage Vulnerable Points identified and transformed Another feature of the event will be the bringing together and felicitation of MoHUA’spartner organisations in the SBM-U journey, including United States Agency for International Development (USAID), Bill & Melinda Gates Foundation (BMGF), Google, etc. Swachh Bharat Mission-Urban (SBM-U) has made significant progress in the area of both sanitation and solid waste management. 4,324 Urban ULBs have been declared ODF, 1,319 cities certified ODF+ and 489 cities certified ODF++ as per MoHUA’s sanitation protocols. This has been made possible through the construction of more than 66 lakhs individual household toilets and over 6 lakhs community/ public restrooms, far exceeding the Mission’s targets. Additionally, over 59,900 toilets across 2900+ cities have been made live on Google Maps. In the area of solid waste management, 96% of wards have a complete door-to-door collection. In comparison, 66% of the total waste generated is being processed – a jump of nearly 4 times over 2014 levels of 18% processing. A total of 6 cities (Indore, Ambikapur, Navi Mumbai, Surat, Rajkot and Mysuru) have been rated as 5-star cities, 86 towns as 3-Star and 64 towns as 1-Star, as per MoHUA’s Star Rating Protocol for Garbage Free Cities. The Swachh Survekshan 2020 Survey Report along with reports on Swachh Survekshan Innovations and Best Practices, Swachh Survekshan Social Media Report and Report on Assessment of Ganga Towns will also be released in the Swachh Mahotsav event. Hardeep Singh Puri,  Minister of State (I/C), MoHUA Durga Shanker Mishra, Secretary, MoHUA shall be participating in the event along with various Mayors, State Mission Directors, Municipal Commissioners and other stakeholders in the area of urban sanitation and waste management. (Source: PIB)",https://www.organiser.org//Encyc/2020/8/18/Swachh-Survekshan-2020-in-Swachh-Mahotsav-the-Virtual-Event-Being-Organised-by-Ministry-of-Housing-and-Urban-Affairs-.html
"Our Target is to Become a Manufacturing Hub of Construction Equipments in the World: Nitin Gadkari", 18-Aug-2020,,"Union Minister for Micro, Small and Medium Enterprises (MSMEs) and Road Transport & Highways Nitin Gadkari has said: “our target is to make our country a manufacturing hub of construction equipment in the world”. While addressing a webinar ‘CII’s Virtual Exhibition on ‘Construction Equipment, Technology, Components and Aggregates’ through Video Conference today he said, “to achieve the objective of self-reliance, we need to reduce imports and boost the manufacturing of various components and parts in the automobile sector which are presently being imported”. He appealed to all the industries in the sector to develop industrial clusters, Technology Centres, Research labs and up gradation of technology and skills. Nitin Gadkari assured the stakeholders to extend all possible support in developing technology centres in India. He also stressed on the need for research and cost reduction without compromising quality. ""Entire industrial sector today is facing a lot of challenges in the wake of COVID-19 crisis, but we have to fight all the challenges with a positive frame of mind and make automobile industry a manufacturing hub for construction types of equipment,"" Nitin Gadkari said. To achieve this, cost reduction without compromising with quality, be a must, he added and also exhorted the participants to face the challenges of issues thrown up by COVID-19 pandemic. The Minister called for research, innovation and technology up-gradation and emphasised on the need for joint ventures and foreign collaborations to get easy finance and compatible technology. Maximum use of LNG, CNG and biofuels can reduce the cost. “Government is also working on integrating and developing all kinds of transport like waterways, sea transportation, rail, road and air transports which will reduce the logistic cost and help industries in a big way” he added. He said, “government is proactively making changes in policies for achieving self-reliance (Aatm Nirbharta) as envisioned by the Prime Minister”. Nitin Gadkari further said that to encourage MSMEs definition of MSMEs has been changed, credit facility and fund of funds have been created for these industries. He said, work is going ahead on a new scrapping policy for the Transport sector, the Government is ready to support enterprises in all possible ways, and industries should come in with innovative plans, so that we may fulfil the dream of a manufacturing hub in the automobile sector. Nitin Gadkari also emphasised on clearing MSME dues by all on priority. He called upon large industries and business houses/Companies to treat this as an essential matter. He asked CII members to help in the development and growth of ancillary units/industries to supply spare parts. (Source: PIB)",https://www.organiser.org//Encyc/2020/8/18/Our-Target-is-to-Become-a-Manufacturing-Hub-of-Construction-Equipments-in-the-World-Nitin-Gadkari.html
Role of Police Force and Municipalities is Important in Overall Protection of Livelihoods of Street Vendors says Hardeep Singh Puri, 18-Aug-2020,,"Hardeep Singh Puri, Housing and Urban Affairs Minister has urged to Housing and Urban Development Ministers of state governments, Chief secretaries, State Principal Secretaries, DGP’s, Municipal Commissioners, Collectors, District Magistrates and other stakeholders to review PM SVANidhi scheme and sensitise all their subordinates towards the street vendors. “To a marginalised Street Vendor already battling to survive on a day to day basis, overturning his cart or asking for a bribe or any other form of harassment, is diabolically cruel. The Street Vendor is invariably neck-deep in debt already, with the stranglehold of unscrupulous money lenders tightening with the exorbitant rates of interest. Thus, when even a single act of harassment takes place, from the very Government that he looks up to for deliverance, it is nothing but travesty” he added. A serious effort is being made to free the Street Vendors from the vicious cycle of indebtedness. The Ministry is also in the process of preparing a plan to capture the socio-economic profile of all PM SVANidhi beneficiaries to facilitate their access to various government welfare schemes, as per their entitlements, said Hardeep Singh Puri. During the meeting, he emphasised that even in standard times the Street Vendors have a marginalised existence and their plight has been compounded with the Covid-19 pandemic as even this marginalised existence is under threat. He also stressed that the Street Vendors need to be provided with an enabling environment where they have a sense of protection from undue harassment/eviction. He added that all concerned authorities must make sincere efforts towards the achievement of the objective. He further said that the role of the police force and municipalities is essential in the overall protection of livelihoods of street vendors and creating a conducive environment and added that the vendors do not demand much, other than a place where they can vend their articles in a harassment-free environment. “Street vendors constitute up to 2% of the urban population, and they contribute immensely to the informal economy. The minister informed that so far, over 5,70,000 loan applications have been received, out of which over 1,35,000 loans sanctioned and over 37,000 disbursed.  “The scheme should not be just seen from the perspective for extending loans to street vendors, but it should also be seen as a part of an outreach for their comprehensive development and socio-economic upliftment”, he said. The Ministry of Housing and Urban Affairs is implementing the Deendayal Antyodaya Yojana - National Urban Livelihoods Mission (DAY-NULM) which has provision for the creation of a pro-vending infrastructure in the Urban Local Bodies (ULBs) through the Support to Urban Street Vendors (SUSV) component. The Street Vendors Act, 2014 came into effect from May 2014 for protection of livelihood rights, social security and regulation of urban street vending. Pointing out that the lockdowns in the wake of the COVID-19 pandemic, have adversely impacted the lives and livelihoods of Street Vendors, the minister said that to facilitate the working capital needs of Street Vendors; Government has launched PM SVANidhi, on June 1, 2020, under which the vendors can avail a collateral-free working capital loan of up to Rs. 10,000 and this loan is of 1-year tenure. The scheme envisages bringing ‘Banks at the doorsteps’ of these ‘nano-entrepreneurs’ by engaging the Non-Banking Financial Companies (NBFCs) and the Micro Financing Institutions (MFIs) as lending institutions in addition to Scheduled Commercial Banks - Public & Private, Regional Rural Banks, Cooperative Banks, SHG (Self Help Group) Banks, etc. “A graded guarantee cover is provided, on a portfolio basis, to the lending institutions through Credit Guarantee Fund Trust for Micro and Small Enterprises (CGTMSE) to encourage lending to street vendors”. The loan application can be submitted through PM SVANidhi portal or Mobile App. The Scheme targets to help build the credit profile of the street vendors through onboarding on digital payment platforms for integrating them into the formal urban economy. Durga Shanker Mishra, Secretary, Ministry of Housing and Urban affairs, Ajay Bhalla, Home Secretary and senior officers from all over the country were present in the virtual meeting. (Source: PIB)",https://www.organiser.org//Encyc/2020/8/18/Role-of-Police-Force-and-Municipalities-is-Important-in-Overall-Protection-of-Livelihoods-of-Street-Vendors-says-Hardeep-Singh-Puri-.html
Arjun Munda flags off ‘Tribes India On Wheels’ Mobile Vans via Video Conference in 31 Cities Across the Country, 19-Aug-2020,,"Arjun Munda Union Minister for Tribal Affairs flagged off “Tribes India On Wheels” Mobile Vans via Video Conference in 31 cities across the country today. To begin with, 57 mobile vans were flagged off in the cities like Ahmedabad, Allahabad, Bangalore, Bhopal, Chennai, Coimbatore, Delhi, Guwahati, Hyderabad, Jagdalpur, Khunti, Mumbai and Ranchi to name a few. Renuka Singh Saruta, Minister of State for Tribal Affairs was the Guest of Honour, Ramesh Chand Meena, Chairman, TRIFED,  Deepak Khandekar, Secretary, Ministry of Tribal Affairs, and Pravir Krishna, Managing Director, TRIFED was also present. Addressing the event, Arjun Munda said: “in these trying times, when the pandemic Covid-19 has disrupted lives in more ways than one, people are focusing on healthier ways of living and staying as safe as possible”. This novel initiative by TRIFED ensures that one doesn’t even have to step out to shop for organic, essential natural immunity-boosting products and adopt a sustainable and wholesome way of living.  Adapting ‘Go Vocal for Local’, a mantra in these troubled times, into ‘Go Vocal for Local Go Tribal’, TRIFED has been striving to enhance the condition of the distressed and affected tribal people by putting in place several path-breaking initiatives, in addition to its existing flagship programmes and implementations, which have emerged as a panacea and relief. With this novel initiative of Mobile Vans, TRIFED is now taking these goods directly to the customer in various localities, and offering the same discounts. All the sales proceeds will directly go to the tribals and help in sustaining their income and livelihoods. R.C. Meena said that as its latest initiative to rehabilitate the affected tribal people (artisans and forest dwellers), TRIFED, M/o Tribal Affairs had launched Tribes India On Wheels which is yet another creative effort by the team of TRIFED Warriors as they continue to strive towards tribal upliftment. “Tribes India on Wheels are an effort to bring Nature’s bounty to your doorstep, these mobile vans will bring the natural and immunity-boosting tribal produce such as organic Haldi, dry amla, wild honey, black pepper, ragi, Triphala, and lentil mixes such as moong dal, urad dal and white beans directly to the doorstep of customers over the next few months,” said Pravir Krishna. TRIFED is also tying up with business partners for accelerating the sales of products. Tribes India on Wheels is yet another creative effort by the team of TRIFED Warriors as they continue to strive towards tribal upliftment. It has now been more than four months since the pandemic has caused (and continues to produce) havoc in the lives of people, across the country. As people try to pick up their lives and livelihoods, the team of TRIFED warriors is continuing in its endeavour to help sustain tribal incomes and livelihoods. Due to the suddenness of the pandemic overtaking our lives and the immediate lockdown, stocks by tribal artisans worth crores had been lying unsold. To ensure that these stocks got sold and all the sales proceeds go to the affected tribal families, TRIFED has launched an aggressive plan to market these unsold goods online (offering substantial discounts) through its Tribes India website and other retail platforms such as Amazon, Flipkart and GeM. TRIFED is also set to launch an exclusive e-marketplace for tribal producers – forest dwellers and artisans, to facilitate the purchase of MFPs, handicrafts and handlooms online soon keeping in line with the clarion call of Atmanirbhar Abhiyan. The Tribes India E-Mart platform will be an omnichannel facility for tribals to sell their goods to a broad national and international audience in an e-marketplace through their e-shop. TRIFED is in the process of onboarding approximately 5 lakh tribal producers across the country and sourcing their natural produce and handcrafted goods.",https://www.organiser.org//Encyc/2020/8/19/Arjun-Munda-flags-off-Tribes-India-On-Wheels-Mobile-Vans-via-Video-Conference-in-31-Cities-Across-the-Country.html
"A big win for Digital India: Health Ministry’s ‘eSanjeevani’ telemedicine service records 2 lakh teleconsultations", 19-Aug-2020,,"This milestone was achieved in a short period of ten days only since August 9, when Dr Harsh Vardhan, Union Minister for Health and Family Welfare presided over a meet to commemorate the completion of 1.5 lakh teleconsultations. In what can be seen as a big push for the ‘Digital India’ initiative of the Prime Minister, the  eSanjeevani  eSanjeevani  The top five states which have been utilising the e-health services being offered through this platform are Tamil Nadu (56,346 consultations), Uttar Pradesh (33,325), Andhra Pradesh (29,400), Himachal Pradesh (26,535) and Kerala (21,433). Andhra Pradesh leads in having the most HWC-medical college interactions with 25,478 consultations while Tamil Nadu leads in the OPD services with 56,346 queries.",https://www.organiser.org//Encyc/2020/8/19/A-big-win-for-Digital-India-Health-Ministry-s-eSanjeevani-telemedicine-service-records-2-lakh-teleconsultations.html
One Nation One Ration Card -Journey so far and journey ahead, 19-Aug-2020,,,https://www.organiser.org//Encyc/2020/8/19/One-Nation-One-Ration-Card-Journey-so-far-and-journey-ahead.html
"With a higher number of patients getting cured, India’s total Recoveries Reach nearly 21 lakh", 20-Aug-2020,,"India's total COVID-19 recoveries have reached nearly 21 lakh today. 20,96,664 patients recoveries have been made possible because of the effective implementation of the policy of TESTING aggressively, TRACKING comprehensively & TREATING efficiently. With the recoveries of 58,794 in the last 24 hours, India's Recovery Rate amongst the COVID-19 patients has reached near 74% reflecting that the number of patients recovering is on a steady rise over the past several months. Focus on Standard of Care protocol, including the use of non-invasive oxygen, better-skilled doctors in the ICUs and hospitals and improved ambulance services have culminated in yielding the desired results. India has posted more than 14 lakh recoveries than the active 6.8 lakh cases. Early identification through TESTING, surveillance & contact TRACING along with the focus on timely and appropriate clinical TREATMENT of COVID19 patients have ensured that not only is the Case Fatality Rate is lower than the global average and progressively declining (the current figure is 1.89%), but also a small proportion of the active cases are on ventilator support.",https://www.organiser.org//Encyc/2020/8/20/With-a-higher-number-of-patients-getting-cured-India-s-total-Recoveries-Reach-nearly-21-lakh.html
"Central Government constitutes National Council for Transgender Persons", 25-Aug-2020,,"The council will monitor and evaluate the impact of policies and programmes designed for achieving equality and full participation of transgender persons. In exercise of the powers conferred by section 16 of the Transgender Persons (Protection of Rights) Act, 2019 (40 of 2019), the Central Government has constituted a National Council for Transgender Persons vide notification dated 21st August, 2020. The Union Minister of Social Justice & Empowerment will be Chairperson (ex-officio) and Union Minister of State for Social Justice & Empowerment will be Vice-Chairperson (ex-officio). The National Council shall advise the Central Government on the formulation of policies, programmes, legislation and projects with respect to transgender persons.  It was also monitor and evaluate the impact of policies and programmes designed for achieving equality and full participation of transgender persons. National Council will review and coordinate the activities of all the departments of Government and other Governmental and non-Governmental Organisations which are dealing with matters relating to transgender persons,  redress the grievances of transgender persons and will perform such other functions as may be prescribed by the Central Government. The other members of the Council include representatives of various Ministries/Departments, five representatives of transgender community, representatives of NHRC and NCW, representatives of State Governments and UTs and experts representing NGOs. A Member of National Council, other than ex officio member, shall hold office for a term of three years from the date of his nomination. Click here for detailed notification.",https://www.organiser.org//Encyc/2020/8/25/Central-Government-constitutes-National-Council-for-Transgender-Persons.html
Our medical fraternity made the nation proud and shown to the world that India can be a trusted partner: Piyush Goyal, 20-Aug-2020,,"Union Commerce and Industry Minister Piyush Goyal had said that all our medical fraternity have made the nation proud and shown to the world that India can be a trusted partner when it comes to global engagement & trade. Speaking at the inauguration of CII’s 12th MedTech Global Summit here today, he said that Pharmaceutical industry persevered to ensure an adequate supply of medicines for India and the world. “The medical devices industry laboured and helped us indigenously prepare products required to fight COVID-19. Our doctors, paramedics & medical fraternity have made the nation proud by serving the common man relentlessly through their commitment to ensuring the safety & well-being of India.” Piyush goyal said that today we could proudly say that India has shown to the world what a strict lockdown means & has also demonstrated what a rapid recovery looks like. “Our numbers of COVID-19 recovery are very heartening, crossing the 70% recovery mark. This period has been great learning for all of us.” Referring to the Prime Minister’s Independence Day address, in which he had laid out a vision for an Aatmanirbhar Bharat. The medical profession was particularly mentioned on the excellent role they played, Piyush Goyal said that this is the time when we have to leverage the tools of technology to recharge out health system with the power of 3 As Access, Awareness, Availability. Shri Goyal said that our industries of pharma, medical devices & medical profession would evolve, with the realisation that being self-reliant is essential to care for the lives of the people. Quoting the Paramhansa Yogananda who had said, “Persistence guarantees that results are inevitable"", he complimented the medical and pharma professionals for the persistence, commitment & resolve to make India self-reliant, to ensure Aatmanirbhar Bharat becomes a reality. Piyush Goyal said that bringing people together, using data & processing that data can help us further improve our healthcare delivery system & ensure a seamless flow of relevant patient information. He said “This will help our doctors & assist in the accurate diagnosis & curated care for patients. The Minister said that along with being the 'Pharmacy of the World', we would also become the 'Hospital of the World, where the world will be able to use facilities, high-quality medical care and high-quality treatment that India will provide to the rest of the world. Medical devices industry will be at the forefront of bringing technology to India & ensuring our rightful place in global trade for equipment & global engagement with hospitals internationally. Piyush Goyal said that the Wellness centre is another focus area of Prime Minister Narendra Modi. He said that preventive healthcare through wellness centres would be the way forward. “Staying fit has been the Mantra of our Government”, he added. Piyush Goyal further said that Prime Minister has laid out a vision for a very bright future in which the entire country's healthcare needs will be upgraded. He expressed the confidence that India will ensure availability of good quality healthcare, equipment & facilities with access to all Indians. (Source: PIB)",https://www.organiser.org//Encyc/2020/8/20/Our-medical-fraternity-made-the-nation-proud-and-shown-to-the-world-that-India-can-be-a-trusted-partner-Piyush-Goyal.html
Union Education Minister holds a review meeting of National Bal Bhawan today in New Delhi, 25-Aug-2020,,"Union Education Minister Ramesh Pokhriyal 'Nishank' held a review meeting of National Bal Bhawan today in New Delhi. During the meeting, the Education Minister reviewed various activities of National Bal Bhawan and directed officials to speedup NBB's activities in the present scenario. He also assessed the progress made by NBB in the last two years, its current membership details & training programmes. The Minister directed officials to focus on cultural exchange programmes for students through webinars so that they can continue learning various cultural aspects of our country. Ramesh Pokhriyal also asked officials to figure out how we can promote Bal Bhawan's activities on international platforms. The education minister that “National Bal Bhawan is a great platform for our children to learn various creative activities and we should expand its activities in regional centres also so that more children get the benefit of this platform”. “To promote creative activities among children, National Bal Bhawan should start a national level award for children and directed officials to make a plan on this matter” he further added. Ramesh Pokhriyal also reviewed the vacancy positions of National Bal Bhawan and directed officials to speed up the process of filling up the vacant posts. MSecretary, SE&L, Anita Karwal, Joint Secretary, School Education, R. C. Meena and senior officials of National Bal Bhawan also attended the meeting.",https://www.organiser.org//Encyc/2020/8/25/Union-Education-Minister-holds-a-review-meeting-of-National-Bal-Bhawan-today-in-New-Delhi.html
"Union Minister Prakash Javadekar releases e-book ‘Connecting, Communicating, Changing’ the Vice President of India’s three years in office", 11-Aug-2020,,"Union Information and Broadcasting Minister, Prakash Javadekar today unveiled e-version of the book ‘Connecting, Communicating, Changing’ the Vice President of India’s three years in office. The e-book was launched along with its print coffee table version which was released by Union Defense Minister Rajnath Singh. Prakash Javadekar on the book release said: “the book was about Connecting with people via Communication and for Changing India and this 3rd edition of the book was a treasure trove for students who want to follow the speeches of the Vice President”. He added that the speeches are replete with thoughts and emotion, and there is a unique flow of language. The book which runs into over 250 pages, and has been brought out by Publications Division, captures through words and pictures the various activities of the Vice President, including his travels in India and abroad. It provides a glimpse of his interactions with farmers, scientists, doctors, youth, administrators, industry leaders and artists, among others. The book also covers events relating to the Vice President’s foreign visits, his interactions with the world leaders and his addresses to the Indian diaspora in different countries. Rajnath Singh said “oratory is an art, and the Vice President speaks from his heart, and his speeches are a reflection of his thoughts and emotions, a good book is the greatest gift a generation can give to another and readers will keep revisiting this book, he added. He also thanked the Ministry of I&B for bringing out this compilation which was aptly named as the Vice President has consistently treaded the path of 3-C’s Connecting, Communicating and Changing”. The Vice President while address the occasion said the publication primarily defines the contours of his missions and the outcomes. “The last one year had been a hectic public engagement followed by corona-induced uneasy slowdown and that the first phase was marked by about 20 public engagements per month with his addressing 14 convocations and spoke at about 70 public events”, he added. He primarily spoke with farmers, youth, scientists, administrators, industry captains, doctors and Indian diaspora. Amit Khare, Secretary, Ministry of I&B while presenting the vote of thanks said the book would inspire all sections of society. He said, “Publications Division is making strenuous efforts to record all speeches of the President, the Vice President and the Prime Minister, every year, and make them available to future generations, both through an online and offline medium”. (Source: PIB)",https://www.organiser.org//Encyc/2020/8/11/Union-Minister-Prakash-Javadekar-releases-e-book-Connecting-Communicating-Changing-the-Vice-President-of-India-s-three-years-in-office-.html
